INFO:root:Step 0: \u03c9=0.30, Temp=25.00
INFO:root:Step 1: \u03c9=0.60, Temp=25.01
INFO:root:Step 2: \u03c9=0.90, Temp=25.02
INFO:root:Step 3: \u03c9=1.20, Temp=25.03
INFO:root:Step 4: \u03c9=1.50, Temp=25.04
INFO:root:Step 5: \u03c9=1.80, Temp=25.06
INFO:root:Step 6: \u03c9=2.10, Temp=25.08
INFO:root:Step 7: \u03c9=2.40, Temp=25.11
INFO:root:Step 8: \u03c9=2.70, Temp=25.13
INFO:root:Step 9: \u03c9=3.00, Temp=25.16
INFO:root:Step 10: \u03c9=3.30, Temp=25.20
INFO:root:Step 11: \u03c9=3.60, Temp=25.23
INFO:root:Step 12: \u03c9=3.90, Temp=25.27
INFO:root:Step 13: \u03c9=4.20, Temp=25.31
INFO:root:Step 14: \u03c9=4.50, Temp=25.36
INFO:root:Step 15: \u03c9=4.80, Temp=25.41
INFO:root:Step 16: \u03c9=5.10, Temp=25.46
INFO:root:Step 17: \u03c9=5.40, Temp=25.51
INFO:root:Step 18: \u03c9=5.69, Temp=25.57
INFO:root:Step 19: \u03c9=5.99, Temp=25.63
INFO:root:Step 20: \u03c9=6.29, Temp=25.69
INFO:root:Step 21: \u03c9=6.59, Temp=25.76
INFO:root:Step 22: \u03c9=6.89, Temp=25.83
INFO:root:Step 23: \u03c9=7.19, Temp=25.90
INFO:root:Step 24: \u03c9=7.49, Temp=25.97
INFO:root:Step 25: \u03c9=7.79, Temp=26.05
INFO:root:Step 26: \u03c9=8.09, Temp=26.13
INFO:root:Step 27: \u03c9=8.39, Temp=26.22
INFO:root:Step 28: \u03c9=8.69, Temp=26.30
INFO:root:Step 29: \u03c9=8.99, Temp=26.39
INFO:root:Step 30: \u03c9=9.29, Temp=26.49
INFO:root:Step 31: \u03c9=9.59, Temp=26.58
INFO:root:Step 32: \u03c9=9.88, Temp=26.68
INFO:root:Step 33: \u03c9=10.18, Temp=26.78
INFO:root:Step 34: \u03c9=10.48, Temp=26.89
INFO:root:Step 35: \u03c9=10.78, Temp=27.00
INFO:root:Step 36: \u03c9=11.08, Temp=27.11
INFO:root:Step 37: \u03c9=11.38, Temp=27.22
INFO:root:Step 38: \u03c9=11.68, Temp=27.34
INFO:root:Step 39: \u03c9=11.98, Temp=27.46
INFO:root:Step 40: \u03c9=12.28, Temp=27.58
INFO:root:Step 41: \u03c9=12.57, Temp=27.71
INFO:root:Step 42: \u03c9=12.87, Temp=27.83
INFO:root:Step 43: \u03c9=13.17, Temp=27.97
INFO:root:Step 44: \u03c9=13.47, Temp=28.10
INFO:root:Step 45: \u03c9=13.77, Temp=28.24
INFO:root:Step 46: \u03c9=14.07, Temp=28.38
INFO:root:Step 47: \u03c9=14.37, Temp=28.52
INFO:root:Step 48: \u03c9=14.66, Temp=28.67
INFO:root:Step 49: \u03c9=14.96, Temp=28.82
INFO:root:Step 50: \u03c9=15.26, Temp=28.97
INFO:root:Step 51: \u03c9=15.56, Temp=29.13
INFO:root:Step 52: \u03c9=15.86, Temp=29.29
INFO:root:Step 53: \u03c9=16.16, Temp=29.45
INFO:root:Step 54: \u03c9=16.46, Temp=29.61
INFO:root:Step 55: \u03c9=16.75, Temp=29.78
INFO:root:Step 56: \u03c9=17.05, Temp=29.95
INFO:root:Step 57: \u03c9=17.35, Temp=30.12
INFO:root:Step 58: \u03c9=17.65, Temp=30.30
INFO:root:Step 59: \u03c9=17.95, Temp=30.48
INFO:root:Step 60: \u03c9=18.25, Temp=30.66
INFO:root:Step 61: \u03c9=18.54, Temp=30.85
INFO:root:Step 62: \u03c9=18.84, Temp=31.04
INFO:root:Step 63: \u03c9=19.14, Temp=31.23
INFO:root:Step 64: \u03c9=19.44, Temp=31.42
INFO:root:Step 65: \u03c9=19.74, Temp=31.62
INFO:root:Step 66: \u03c9=20.03, Temp=31.82
INFO:root:Step 67: \u03c9=20.33, Temp=32.02
INFO:root:Step 68: \u03c9=20.63, Temp=32.23
INFO:root:Step 69: \u03c9=20.93, Temp=32.44
INFO:root:Step 70: \u03c9=21.23, Temp=32.65
INFO:root:Step 71: \u03c9=21.52, Temp=32.87
INFO:root:Step 72: \u03c9=21.82, Temp=33.08
INFO:root:Step 73: \u03c9=22.12, Temp=33.30
INFO:root:Step 74: \u03c9=22.42, Temp=33.53
INFO:root:Step 75: \u03c9=22.71, Temp=33.76
INFO:root:Step 76: \u03c9=23.01, Temp=33.99
INFO:root:Step 77: \u03c9=23.31, Temp=34.22
INFO:root:Step 78: \u03c9=23.61, Temp=34.46
INFO:root:Step 79: \u03c9=23.91, Temp=34.69
INFO:root:Step 80: \u03c9=24.20, Temp=34.94
INFO:root:Step 81: \u03c9=24.50, Temp=35.18
INFO:root:Step 82: \u03c9=24.80, Temp=35.43
INFO:root:Step 83: \u03c9=25.10, Temp=35.68
INFO:root:Step 84: \u03c9=25.39, Temp=35.93
INFO:root:Step 85: \u03c9=25.69, Temp=36.19
INFO:root:Step 86: \u03c9=25.99, Temp=36.45
INFO:root:Step 87: \u03c9=26.29, Temp=36.71
INFO:root:Step 88: \u03c9=26.58, Temp=36.98
INFO:root:Step 89: \u03c9=26.88, Temp=37.25
INFO:root:Step 90: \u03c9=27.18, Temp=37.52
INFO:root:Step 91: \u03c9=27.47, Temp=37.80
INFO:root:Step 92: \u03c9=27.77, Temp=38.07
INFO:root:Step 93: \u03c9=28.07, Temp=38.35
INFO:root:Step 94: \u03c9=28.37, Temp=38.64
INFO:root:Step 95: \u03c9=28.66, Temp=38.92
INFO:root:Step 96: \u03c9=28.96, Temp=39.21
INFO:root:Step 97: \u03c9=29.26, Temp=39.51
INFO:root:Step 98: \u03c9=29.55, Temp=39.80
INFO:root:Step 99: \u03c9=29.85, Temp=40.10
INFO:root:Step 100: \u03c9=30.15, Temp=40.40
INFO:root:Step 101: \u03c9=30.45, Temp=40.71
INFO:root:Step 102: \u03c9=30.74, Temp=41.01
INFO:root:Step 103: \u03c9=31.04, Temp=41.32
INFO:root:Step 104: \u03c9=31.34, Temp=41.64
INFO:root:Step 105: \u03c9=31.63, Temp=41.95
INFO:root:Step 106: \u03c9=31.93, Temp=42.27
INFO:root:Step 107: \u03c9=32.23, Temp=42.60
INFO:root:Step 108: \u03c9=32.52, Temp=42.92
INFO:root:Step 109: \u03c9=32.82, Temp=43.25
INFO:root:Step 110: \u03c9=33.12, Temp=43.58
INFO:root:Step 111: \u03c9=33.41, Temp=43.91
INFO:root:Step 112: \u03c9=33.71, Temp=44.25
INFO:root:Step 113: \u03c9=34.01, Temp=44.59
INFO:root:Step 114: \u03c9=34.30, Temp=44.93
INFO:root:Step 115: \u03c9=34.60, Temp=45.28
INFO:root:Step 116: \u03c9=34.90, Temp=45.63
INFO:root:Step 117: \u03c9=35.19, Temp=45.98
INFO:root:Step 118: \u03c9=35.49, Temp=46.34
INFO:root:Step 119: \u03c9=35.79, Temp=46.69
INFO:root:Step 120: \u03c9=36.08, Temp=47.05
INFO:root:Step 121: \u03c9=36.38, Temp=47.42
INFO:root:Step 122: \u03c9=36.68, Temp=47.79
INFO:root:Step 123: \u03c9=36.97, Temp=48.15
INFO:root:Step 124: \u03c9=37.27, Temp=48.53
INFO:root:Step 125: \u03c9=37.56, Temp=48.90
INFO:root:Step 126: \u03c9=37.86, Temp=49.28
INFO:root:Step 127: \u03c9=38.16, Temp=49.66
INFO:root:Step 128: \u03c9=38.45, Temp=50.05
INFO:root:Step 129: \u03c9=38.75, Temp=50.44
INFO:root:Step 130: \u03c9=39.05, Temp=50.83
INFO:root:Step 131: \u03c9=39.34, Temp=51.22
INFO:root:Step 132: \u03c9=39.64, Temp=51.62
INFO:root:Step 133: \u03c9=39.93, Temp=52.02
INFO:root:Step 134: \u03c9=40.23, Temp=52.42
INFO:root:Step 135: \u03c9=40.53, Temp=52.82
INFO:root:Step 136: \u03c9=40.82, Temp=53.23
INFO:root:Step 137: \u03c9=41.12, Temp=53.64
INFO:root:Step 138: \u03c9=41.41, Temp=54.06
INFO:root:Step 139: \u03c9=41.71, Temp=54.47
INFO:root:Step 140: \u03c9=42.01, Temp=54.89
INFO:root:Step 141: \u03c9=42.30, Temp=55.32
INFO:root:Step 142: \u03c9=42.60, Temp=55.74
INFO:root:Step 143: \u03c9=42.89, Temp=56.17
INFO:root:Step 144: \u03c9=43.19, Temp=56.60
INFO:root:Step 145: \u03c9=43.48, Temp=57.04
INFO:root:Step 146: \u03c9=43.78, Temp=57.48
INFO:root:Step 147: \u03c9=44.08, Temp=57.92
INFO:root:Step 148: \u03c9=44.37, Temp=58.36
INFO:root:Step 149: \u03c9=44.67, Temp=58.81
INFO:root:Step 150: \u03c9=44.96, Temp=59.26
INFO:root:Step 151: \u03c9=45.26, Temp=59.71
INFO:root:Step 152: \u03c9=45.55, Temp=60.16
INFO:root:Step 153: \u03c9=45.85, Temp=60.62
INFO:root:Step 154: \u03c9=46.14, Temp=61.08
INFO:root:Step 155: \u03c9=46.44, Temp=61.55
INFO:root:Step 156: \u03c9=46.73, Temp=62.02
INFO:root:Step 157: \u03c9=47.03, Temp=62.49
INFO:root:Step 158: \u03c9=47.33, Temp=62.96
INFO:root:Step 159: \u03c9=47.62, Temp=63.44
INFO:root:Step 160: \u03c9=47.92, Temp=63.92
INFO:root:Step 161: \u03c9=48.21, Temp=64.40
INFO:root:Step 162: \u03c9=48.51, Temp=64.88
INFO:root:Step 163: \u03c9=48.80, Temp=65.37
INFO:root:Step 164: \u03c9=49.10, Temp=65.86
INFO:root:Step 165: \u03c9=49.39, Temp=66.36
INFO:root:Step 166: \u03c9=49.69, Temp=66.85
INFO:root:Step 167: \u03c9=49.98, Temp=67.35
INFO:root:Step 168: \u03c9=50.28, Temp=67.85
INFO:root:Step 169: \u03c9=50.57, Temp=68.36
INFO:root:Step 170: \u03c9=50.87, Temp=68.87
INFO:root:Step 171: \u03c9=51.16, Temp=69.38
INFO:root:Step 172: \u03c9=51.46, Temp=69.90
INFO:root:Step 173: \u03c9=51.75, Temp=70.41
INFO:root:Step 174: \u03c9=52.05, Temp=70.93
INFO:root:Step 175: \u03c9=52.34, Temp=71.46
INFO:root:Step 176: \u03c9=52.64, Temp=71.98
INFO:root:Step 177: \u03c9=52.93, Temp=72.51
INFO:root:Step 178: \u03c9=53.22, Temp=73.04
INFO:root:Step 179: \u03c9=53.52, Temp=73.58
INFO:root:Step 180: \u03c9=53.81, Temp=74.12
INFO:root:Step 181: \u03c9=54.11, Temp=74.66
INFO:root:Step 182: \u03c9=54.40, Temp=75.20
INFO:root:Step 183: \u03c9=54.70, Temp=75.75
INFO:root:Step 184: \u03c9=54.99, Temp=76.30
INFO:root:Step 185: \u03c9=55.29, Temp=76.85
INFO:root:Step 186: \u03c9=55.58, Temp=77.41
INFO:root:Step 187: \u03c9=55.88, Temp=77.97
INFO:root:Step 188: \u03c9=56.17, Temp=78.53
INFO:root:Step 189: \u03c9=56.46, Temp=79.09
INFO:root:Step 190: \u03c9=56.76, Temp=79.66
WARNING:root:Step 191: Overtemperature detected! T=80.23
